monitoringLocation,state,pH,temperature,turbidity
KAJIPALLY TANK KAJIPALLY MEDAK,TELANGANA,7.0,22.5,5.112376365
SUDANAKERE TANK,KARNATAKA,7.7,24.5,3.26640974
PEDDA CHERUVU GANGARAM (V) SERLINGAMPALLY (NEW MANDAL),TELANGANA,6.8,24.0,4.48126124
"MEEDI KUNTA (BK ENCLAVE LAKE) MAQTA MAHBOOBPET
(MADEENAGUDA)",TELANGANA,6.7,23.5,2.747312999
BISHNU PUSKAR PUKHURI OF HAYAGRIB MADHAB TEMPLE HAJO ASSAM,ASSAM,7.0,23.5,4.663869576
RUDRASAGAR NORTH LAKETRIPURA,TRIPURA,6.9,23.5,2.804525051
"BORDOIBAM BEELMUKH BIRD
SANCTUARY DHEMAJI",ASSAM,7.0,24.0,4.545340927
VEMBANAD LAKEKOCHI (OIL TANKER JETTY) KERALA,KERALA,6.3,29.0,3.021381555
PEREMINAHALLI KERE,KARNATAKA,7.4,24.5,3.265854137
CAMPUS LAKE ICRISAT,TELANGANA,6.4,24.5,4.403250065
P .S. CHINNAIAH PALEM,ANDHRA PRADESH,6.8,27.0,3.762615331
RAJMAW PUKHURI JORHAT ASSAM,ASSAM,6.8,27.0,3.630536578
KODI SINGASANDRA LAKE,KARNATAKA,6.5,25.0,4.317553512
"BORBEEL NO. 1  RAM NAGAR DIGBOI
PUBLIC WATER SUPPLY TINSUKIA",ASSAM,7.7,24.0,4.116347641
HANUMANTAL JABALPUR,"MADHYA
PRADESH",7.2,22.45,3.195591056
"CHINTAL CHERUVU GAJULARAMARAM QUTUBULLAPUR MEDCHAL 
MALKAGIRI",TELANGANA,7.3,28.5,4.025643696
MADHURE TANK,KARNATAKA,6.5,25.0,4.408513182
SAHEBBANDH AT PURULIA,WEST BENGAL,7.0,27.0,5.184441995
UPPALANKA MUDFLATS,ANDHRA PRADESH,7.0,27.0,4.850433708
ANCHAR LAKE NEAR LKIMS,"JAMMU &
KASHMIR",7.1,17.35,3.619181848
LALBAGH TANK,KARNATAKA,6.6,25.0,3.285371835
PUMLEN LAKE AT TOKPACHING,MANIPUR,7.0,24.0,5.214484016
"SHAHPURA LAKE AT WEIR NEAR
AYUSHMAN HOSPITAL BHOPAL","MADHYA
PRADESH",6.8,26.5,3.611057441
SHIV GANGA POND DEOGHAR,JHARKHAND,7.6,24.5,4.559336642
SUDANAKERE TANK,KARNATAKA,7.7,24.5,2.637364885
KALYANSAGAR AT MATARBARI SOUTH TRIPURA,TRIPURA,7.0,24.5,3.895572062
CHELEKERE LAKE,KARNATAKA,6.5,25.0,4.667770161
MANCHANABALE DAM,KARNATAKA,6.5,25.0,2.91175139
"MARKANDA POKHARI ( RILIGIOUS POND
OF PURI CITY)",ODISHA,7.4,29.5,2.764633881
LALBAGH TANK,KARNATAKA,6.6,25.0,4.1190873
RUMDER LAKE,GOA,6.1,29.5,3.995857049
BEGUR TANK,KARNATAKA,6.4,25.0,4.104834817
"KANHARGAON STOP DAM WATER
SUPPLY INTAKE OF CHHINDWARA TOWN","MADHYA
PRADESH",7.1,23.5,2.39500211
MBB COLLEGE LAKE,TRIPURA,6.9,24.5,4.442711502
KALENA AGRAHARA LAKE,KARNATAKA,6.5,25.0,5.337987102
SANAVALLI DAM MUNGOD,KARNATAKA,6.8,25.5,5.564901543
TOP CHANCHI LAKE,JHARKHAND,7.5,19.75,4.498818336
ALAPPUZHA KERALA,KERALA,6.9,29.5,3.875556805
MOTI TALAB AT BALAGHAT,MADHYA PRADESH,7.2,23.6,3.275724959
DODDANAKUNDI TANK,KARNATAKA,6.5,25.0,4.279697428
BANDAM CHERUVU HANAMKONDA,TELANGANA,7.1,28.0,4.896625908
KOMATI CHERUVU SIDDIPET TOWN SIDIPET DISTRICT,TELANGANA,7.0,29.5,3.88950004
CHINNA PEDDA CHERUVU GOPANPALLY SERILINGAMPALLY RR,TELANGANA,7.0,24.5,4.709374128
"UDHAGAMADALEM LAKE (OOTY)
TAMILNADU",TAMIL NADU,6.1,24.0,4.115428052
PEDDA CHERUVU  KHAJA GUDA KHJAGUDA (V) SERLINGAMPALLY 9NEW MANDAL),TELANGANA,7.3,31.0,4.397533101
RUDRASAGAR NORTH LAKETRIPURA,TRIPURA,6.9,23.5,5.580829963
WULAR LAKE ATKANIBATH,"JAMMU &
KASHMIR",7.1,18.45,3.515802547
HUNDIKERE (KOPPAL) TANK,KARNATAKA,7.5,26.5,3.601735481
NEHRU NAGAR TALAB BHILAI CHHATISGARH.,CHHATTISGARH,7.1,26.0,3.665521764
SUKHNA LAKE CHANDIGARH,CHANDIGARH,6.9,25.0,4.045547056
RSVR AT EDAMALAYAR,KERALA,6.4,27.0,4.084696775
BISHNU PUSKAR PUKHURI OF HAYAGRIB MADHAB TEMPLE HAJO ASSAM,ASSAM,7.0,23.5,2.506238127
TIRUMALAGIRI TANK TIRUMALAGIRI HYDERABAD,TELANGANA,7.1,33.5,4.785637378
"LOTUS POND HAKIMPET (V) SHAIK PET
(NEW MANDAL)",TELANGANA,6.9,30.0,5.162729749
RANGADHAMUNI CHERUVU RANGA REDDY,TELANGANA,7.2,26.0,4.174568876
MALLAPUR TANK,TELANGANA,7.0,26.0,3.385508444
NEKNAMPUR LAKE,TELANGANA,7.2,30.5,3.38629429
PATTANDUR AGARAHARA,KARNATAKA,6.5,25.0,3.636364183
HAMISAR TALAV BHUJ,GUJARAT,7.2,26.5,5.159001749
KAMMASANDRA TANK,KARNATAKA,6.7,25.0,4.117287902
INTERU SWAMPS,ANDHRA PRADESH,7.3,25.5,3.567180517
LALBAGH TANK,KARNATAKA,6.6,25.0,4.764412042
"HOLY POND OF SHIV GANGA JARMUNDI
DUMKA",JHARKHAND,7.6,24.0,5.42376733
HASMATHPET LAKE HASMATHPET RANGA REDDY,TELANGANA,7.1,25.5,2.391540006
INDRADYUMNA TANK ( RILIGIOUS POND OF PURI CITY),ODISHA,7.6,29.5,2.39500211
DAL LAKE AT SRINAGAR,JAMMU & KASHMIR,7.4,19.85,4.248075369
KASAVANAHALLI LAKE,KARNATAKA,6.7,25.0,5.102516757
"NAINI LAKE AT NAINITAL (WATER
INTAKE POINT)",UTTARAKHAND,7.2,15.5,3.30829418
MULLAKATWA CHERUVU JI TECH CITY MADHAPUR,TELANGANA,7.0,30.5,3.507708536
"LAXMINARAYANA CHERUVU AT
EDULABAD RANGAREDDY",TELANGANA,7.5,25.5,4.957822241
"HOLY POND OF SHIV GANGA JARMUNDI
DUMKA",JHARKHAND,7.6,24.0,4.846359372
"POND AT (PADMANABHA) SREE
PADMANABHA SWAMY TEMPLE (TVPM)",KERALA,7.0,26.5,3.227940799
DAL LAKE AT ABIKARPORA,"JAMMU &
KASHMIR",7.2,18.35,3.820865704
"MADDELLA KUNTA/ BAIRAMALGUDA
CHERUVU",TELANGANA,6.7,31.5,3.548775589
"RABINDRASAROVAR NATIONAL LAKE
CALCUTTA WEST BENGAL",WEST BENGAL,7.2,26.5,3.351766903
JOLADAKATTE TANK,KARNATAKA,7.7,24.0,3.920287688
"LAXMINARAYANA CHERUVU AT
EDULABAD RANGAREDDY",TELANGANA,7.5,25.5,3.168031026
CHINNARAYAN CHERUVU ALWAL (V),TELANGANA,7.2,29.0,4.957419783
KOWDHENAHALLI LAKE,KARNATAKA,6.5,25.05,5.049463526
PARAVUR KERALA,KERALA,6.2,21.5,3.994556136
GOTTIGERE LAKE,KARNATAKA,6.4,25.0,4.291001305
"LAKADARAM CHERUVU LAKADARAM
(V) PATANCHERU (M) SANGAREDDY
DISTRICT",TELANGANA,7.0,25.5,3.268324836
P .S. CHINNAIAH PALEM,ANDHRA PRADESH,6.8,27.0,3.929177544
WARD'S LAKE AT SHILLONG,MEGHALAYA,7.0,20.0,3.481517395
DALAVAI LAKE,KARNATAKA,7.1,23.5,2.966945651
SOMASILA BACK WATER,ANDHRA PRADESH,7.2,25.0,3.439021651
KUNDUVADAKERE TANK,KARNATAKA,8.0,27.0,4.543685406
KUDI KUNTA (GAUTAMI LAKE) KONDAPUR SERILINGAMPALLY RR,TELANGANA,6.9,26.5,3.96599397
"HATISHALA GHAT ON DUDHPUKUR AT
TARAKESHWAR HOOGHLY",WEST BENGAL,7.5,28.25,2.878515631
INTERU SWAMPS,ANDHRA PRADESH,7.3,25.5,4.372333382
HAMISAR TALAV BHUJ,GUJARAT,7.2,26.5,3.56139783
HOSAKEREHALLI LAKE,KARNATAKA,6.5,25.05,5.140207743
VENGAIHNAKERE,KARNATAKA,6.5,24.5,3.039018779
"MAHABOOBSAGAR TANK SANGAREDDY
(V & M) SANGAREDDY DISTRICT",TELANGANA,6.8,24.5,3.761633184
PHE RESERVOIR HELIPAD NEW SAIHA,MIZORAM,6.7,19.5,2.938536287
YENNEHOLE LAKE,KARNATAKA,7.0,27.0,3.730369857
HAMISAR TALAV BHUJ,GUJARAT,7.2,26.5,3.672975983
NARINJA LAKE,TELANGANA,6.8,24.5,3.772919265
"BORBEEL NO. 1  RAM NAGAR DIGBOI
PUBLIC WATER SUPPLY TINSUKIA",ASSAM,7.7,24.0,3.042496818
"MEEDI KUNTA (BK ENCLAVE LAKE) MAQTA MAHBOOBPET
(MADEENAGUDA)",TELANGANA,6.7,23.5,3.808372006
DAL LAKE NEAR NISHAT LAM,JAMMU & KASHMIR,7.6,19.85,4.26852452
PUTTENAHALLI LAKE (S),KARNATAKA,6.9,25.0,3.358284405
YERRA KUNTA SHAIKPET HYDERABAD,TELANGANA,7.2,25.5,4.741944305
"DAL LAKE AT NIGEEN WATER INTAKE PT OF POKHRIBAL WATER TREATMENT
PLANT",JAMMU & KASHMIR,7.7,20.25,5.738991025
POONDI LAKE AT THIRUVALLUR TAMILNADU,TAMIL NADU,7.0,33.0,3.860083952
KUKKARAHALLI LAKE,KARNATAKA,7.1,23.0,4.123621736
LAKE VEMBANAD AT PATHIRAMANAL (ALAPPUZHA),KERALA,6.6,28.5,4.397533101
"PARVATI SAGAR ( RILIGIOUS POND OF
PURI CITY)",ODISHA,6.9,30.0,3.195591056
TATIPUDI RESERVOIR,ANDHRA PRADESH,7.0,28.5,3.349571655
NUGGIKERE TANK,KARNATAKA,7.3,24.0,5.452362325
NEHRU NAGAR TALAB BHILAI CHHATISGARH.,CHHATTISGARH,7.1,26.0,4.41111744
SINGAPURA LAKE,KARNATAKA,6.5,25.0,4.265547139
MOTI TALAB AT BALAGHAT,MADHYA PRADESH,7.2,23.6,4.201849441
SANKALAPURAKERE TANK,KARNATAKA,7.4,24.5,3.132253296
BANDAM CHERUVU HANAMKONDA,TELANGANA,7.1,28.0,3.463097154
KANAGAN LAKE,PUDUCHERRY,7.6,31.0,4.147028947
"BANDLAGUDA CHERUVU BANDALGUDA
UPPAL MEDCHAL  MALKAGIRI",TELANGANA,7.0,30.0,2.798600948
GANDIGUDEM TANK  MEDAK DISTRICT,TELANGANA,6.8,21.5,3.864931035
ALUR KERE,KARNATAKA,6.5,25.0,4.204699129
GANDIGUDEM TANK  MEDAK DISTRICT,TELANGANA,6.8,21.5,2.619420879
PORUR LAKE AT THIRUVALLUR TAMILNADU,TAMIL NADU,7.3,32.0,3.623297793
ASHTHAMUDI LAKE AT QUILON KERALA,KERALA,6.3,23.0,4.361486286
SANAVALLI DAM MUNGOD,KARNATAKA,6.8,25.5,3.570290456
LAMJAO PUKHURI AT ACHOUBA,MANIPUR,7.2,24.5,3.688298056
"CHILKA LAKE AT SATAPADA (RAMSAR
SITE)",ODISHA,6.9,26.0,3.901096866
RAJAPUKHURI AT GAURIPUR ASSAM,ASSAM,7.3,30.0,2.728617352
PRAGATHINAGAR CHERUVU KUKATPALLY RANGA REDDY,TELANGANA,7.2,27.0,4.328026357
HIMAYAT SAGAR LAKE  R.R.DIST.,TELANGANA,7.3,24.5,4.933467949
PEDDA CHERUVU,TELANGANA,7.2,28.0,3.682780338
CHINNA BANDAM SURARAM QUTUBULLAPUR MEDCHAL  MALKAGIRI,TELANGANA,7.0,28.0,4.666916974
KALYANSAGAR AT MATARBARI SOUTH TRIPURA,TRIPURA,7.0,24.5,4.565542154
CHAND DUBI BEEL CHAND DUBI ASSAM,ASSAM,7.2,27.0,3.035670597
MANCHANABALE DAM,KARNATAKA,6.5,25.0,3.678957092
DODDANAKUNDI TANK,KARNATAKA,6.5,25.0,4.599235865
HORDAI PUKHURI CHARAIDEW ASSAM,ASSAM,6.7,25.0,4.616641008
MANCHANABALE DAM,KARNATAKA,6.6,25.0,3.352764606
DALONI BEEL NEAR JOGIGHOPA ASSAM,ASSAM,7.0,30.0,4.346153563
SOMPURA LAKE,KARNATAKA,7.0,25.05,3.575010576
POOKOTE KERALA,KERALA,6.5,27.0,3.973576406
DAL LAKE AT HAZRATBAL,"JAMMU &
KASHMIR",7.5,20.9,4.246388024
OLPAD VILLAGE POND:OLPAD SURAT,GUJARAT,7.3,25.0,4.081701398
"KOCHBIHAR LAKE (SAGAR DIGHI)
COOCHBEHAR",WEST BENGAL,6.7,25.5,3.690929417
"HOLUDUNGA BEEL NEAR GAI NADI/
RIVER AT SOMARAJAN DHEMA JI",ASSAM,7.0,23.5,3.736379595
RAMAPPA LAKE WARANGAL,TELANGANA,7.6,27.0,2.483643397
KATAL DIGHI POND,TRIPURA,6.9,23.5,4.512068205
"KISTAIPALLY TANK KAZIPET
WARANGAL",TELANGANA,7.2,29.5,3.914511885
BRAMAKUNDA POND WEST TRIPURA,TRIPURA,6.9,23.75,3.645785495
CHINNAPANHALLI LAKE,KARNATAKA,6.5,25.0,3.1269559
PUTTENAHALLI LAKE,KARNATAKA,6.6,25.0,3.73313957
YERRAKALUVA RESERVOIR,ANDHRA PRADESH,7.1,25.5,4.377502097
SOHNA LAKE,HARYANA,7.0,26.2,2.277358632
BOR BEEL AT JAKAI. ASSAM,ASSAM,7.2,23.0,6.35743852
KARANJIKERE TANK,KARNATAKA,7.4,22.5,4.141341849
GURUNATH CHERUVU MIYAPUR SERILINGAMPALLY RR,TELANGANA,7.0,25.0,3.853388072
MIRALAM LAKE NEAR ZOO PARK RANGAREDDY,TELANGANA,7.2,27.5,2.674040012
DHOREKERE TANK,KARNATAKA,6.5,25.0,5.056104024
ANEKAL DODDAKERE TANK,KARNATAKA,6.6,25.0,5.164944785
RAIA LAKE,GOA,6.4,29.0,4.914276095
POND AT MAIBAM LOKPACHING,MANIPUR,6.9,24.0,6.032994877
"GAURISAGAR TANK GAURISAGAR
ASSAM",ASSAM,6.4,28.0,3.654354962
GOVERDHAN SAGAR UDAIPUR,RAJASTHAN,7.6,24.0,5.21830711
"RAJSAMAND LAKE  RAJSAMAND POINT
NO. 2 RAJSAMAND RAJASTHAN",RAJASTHAN,8.3,22.0,4.151865853
MAVENAKERE TANK,KARNATAKA,7.5,27.5,4.709402885
MACHHUII DAM RAFLESHWAR MORBI RAJKOT,GUJARAT,7.3,26.5,3.488675274
PORUR LAKE AT THIRUVALLUR TAMILNADU,TAMIL NADU,7.3,32.0,4.963535103
WHITEFIELD KERE,KARNATAKA,6.6,24.5,3.979296867
"NAINI LAKE AT NAINITAL (WATER
INTAKE POINT)",UTTARAKHAND,7.2,15.5,2.380084227
CHELEKERE LAKE,KARNATAKA,6.5,25.0,5.002360533
YENNEHOLE LAKE,KARNATAKA,7.0,27.0,3.290105906
LAKE NEAR IIT FLYOVER DELHI,DELHI,8.7,34.0,4.914276095
PREMAJIPET TANK KATTEDAN RANGAREDDY,TELANGANA,7.4,26.5,1.680554025
RUMDER LAKE,GOA,6.1,29.5,3.133838702
INDRADYUMNA TANK ( RILIGIOUS POND OF PURI CITY),ODISHA,7.6,29.5,5.67199885
KODUNGALLOOR KERALA,KERALA,6.5,28.5,2.747027112
"KACHOHALLI LAKE KACHOHALLI
BENGALURU NORTH",KARNATAKA,6.3,25.0,4.523106008
MOHINI CHERUVU AMBERPET HYDERABAD,TELANGANA,7.2,24.0,4.410673878
NARASIPURA LAKE,KARNATAKA,6.5,25.0,3.444442492
WULAR LAKE AT ZALWAN,"JAMMU &
KASHMIR",7.1,15.5,4.003547029
"CHIKKABANVARA LAKE
CHIKKABANWARA BENGALURU NORTH",KARNATAKA,6.5,25.0,3.65213447
BELLANDUR LAKE,KARNATAKA,6.5,25.0,4.176218743
BATHAR KUNTA SHAIKPET HYDERABAD,TELANGANA,7.1,26.5,5.038118946
"BAKSHI KUNTA (VEMANA COLONY PARK) CHANDANAGAR
SERILINGAMPALLY RR",TELANGANA,6.6,22.0,3.884891044
ORUVATHILKOTTA LAKE KERALA,KERALA,6.4,26.5,3.759326201
YEDIYUR LAKE,KARNATAKA,6.5,25.0,3.995857049
BANDEMATTA TANK,KARNATAKA,6.5,25.0,4.810537179
CHAND DUBI BEEL CHAND DUBI ASSAM,ASSAM,7.2,27.0,3.986882335
RAMAMMANA KERE,KARNATAKA,6.2,25.0,3.422470521
SINCHAL LAKE FOR DARJEELING,WEST BENGAL,6.9,11.5,4.99189599
HEBBAL LAKE,KARNATAKA,6.4,25.0,4.217743745
GAVENAHALLIKERE,KARNATAKA,7.4,24.0,4.026622094
BILAWALI TALAB AT INDORE,"MADHYA
PRADESH",7.4,21.65,4.305513625
NAGOLE CHERUVU UPPAL (V),TELANGANA,6.9,30.0,2.853767349
KOKKANAGHATTADODDAKERE TANK,KARNATAKA,7.7,24.5,4.111691345
GALA BEEL AT DERGAON ASSAM,ASSAM,7.3,25.0,3.749818066
"DAL LAKE AT NISHAT WATER INTAKE POINT OF NISHAT WATER TREATMENT
PLANT",JAMMU & KASHMIR,7.9,20.3,3.294129366
ANCHAR LAKE AT JENAB SAHAB SOURA,JAMMU & KASHMIR,7.2,17.3,3.266562403
KODUNGALLOOR KERALA,KERALA,6.5,28.5,4.143224936
PUDUMPUKHURI DIMAPUR,NAGALAND,2.0,30.0,4.903869628
KANCHANAHALLI KOPPALU KERE,KARNATAKA,7.3,24.0,2.804923583
UMDA SAGAR LAKE SHAMSHABAD,TELANGANA,6.9,31.0,4.340148944
"GANGONDANA HALLI LAKE BENGALURU
NORTH",KARNATAKA,6.0,25.0,4.36085117
LOKTAK LAKE AT THANA,MANIPUR,6.9,23.35,3.661529274
DAL LAKE AT CHAIRCHINARI,"JAMMU &
KASHMIR",7.0,19.65,4.527364378
NELA TALAB SECTOR14 HIRAN MARG UDAIPUR,RAJASTHAN,7.6,24.0,4.687986155
NELAMANGALA LAKE,KARNATAKA,6.5,25.0,4.628770537
"LAKADARAM CHERUVU LAKADARAM
(V) PATANCHERU (M) SANGAREDDY
DISTRICT",TELANGANA,7.0,25.5,3.172375491
DHAMBUR LAKE DHALAI,TRIPURA,7.0,23.25,3.930290663
NEKNAMPUR LAKE,TELANGANA,7.2,30.5,3.580523461
"SHAHATAM CHERUVU SHAIKPET
HYDERABAD",TELANGANA,7.0,26.0,4.032150342
"SURINSAR LAKE POINT OF DISCHARGE OF WASTE WATER FROM DIFFERENT
ESTABLISHMENTS",JAMMU & KASHMIR,8.1,20.5,2.220639923
ANSHUPA AT SARANDAGARH,ODISHA,6.5,26.5,4.094746286
NARINJA LAKE,TELANGANA,6.8,24.5,3.204795726
"GADDAPOTHARAM CHERUVU GADDAPOTHARAM VILLAGE JINNARAM
MANDAL SANGAREDDY DIST",TELANGANA,6.7,29.0,3.325638986
PARASHALI BEEL AT DEMORIA,ASSAM,7.0,25.0,4.248075369
DIMNA LAKE DIMNA,JHARKHAND,7.2,26.0,5.425794714
GURUNATH CHERUVU MIYAPUR SERILINGAMPALLY RR,TELANGANA,7.0,25.0,3.331583735
"LODHA TALAB BANSWARA DUNGARPUR ROAD BANSWARA
RAJASTHAN",RAJASTHAN,7.7,25.0,5.088859989
RSVR AT EDAMALAYAR,KERALA,6.4,27.0,3.258041647
SALKAM CHERUVU BANDLAGUDA HYDERABAD,TELANGANA,7.1,25.5,5.452362325
"PERIAT TANK NEAR WSS INTAKE POINT
JABALPUR","MADHYA
PRADESH",7.2,22.0,3.164187994
UTTARAHALLI DORAIKERE,KARNATAKA,6.7,25.0,3.951304463
BAHOUR LAKE,PUDUCHERRY,7.1,30.5,3.176432526
BISHNU PUSKAR PUKHURI OF HAYAGRIB MADHAB TEMPLE HAJO ASSAM,ASSAM,7.0,23.5,2.519891581
"BANDAM CHERUVU GAJULARAMARAM QUTUBULLAPUR MEDCHAL 
MALKAGIRI",TELANGANA,7.1,27.0,4.081328787
LAXMI POND JHANSI,UTTAR PRADESH,7.2,20.0,3.673088094
DODDANAKUNDI TANK,KARNATAKA,6.5,25.0,4.158248535
JAGANNATH SAGAR POND OF JEYPORE,ODISHA,7.1,20.5,3.292249267
DEVARABEESANAHALLI LAKE,KARNATAKA,6.5,23.0,4.085054788
ANSHUPA AT SUBARANAPUR,ODISHA,6.5,27.0,5.149542443
